iteration	evaluations	runtime[s]	COSTDUR[MIN]	cost	duration	undt	reqsk	overwork	phenotypeBeforeNormalization
1	64	0.011	150.76809220535705	13118.3747972652	195.8434423270502	0	0	0.0	1.0,0.5,0.0,0.0,0.75,0.75,0.5,0.0,1.0,0.75,0.5,0.25,0.0,1.0,1.0,0.25,0.75,0.75,0.75,0.0,1.0,0.75,0.25,0.5,0.75,0.25,0.75,0.75,0.0,0.25,0.0,1.0,0.25,1.0,0.0,1.0,0.5,0.75,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.5,0.25,0.5,0.0,0.75,
2	128	0.023	149.0546704820376	12772.23858890805	213.32284592957097	0	0	0.0	0.5,0.25,0.0,0.5,0.5,0.75,0.5,0.5,1.0,0.75,0.25,0.25,0.0,1.0,0.25,0.25,0.75,0.75,0.25,0.0,1.0,0.0,0.25,0.75,1.0,0.25,0.75,0.75,0.0,0.25,0.75,0.0,0.25,1.0,0.5,1.0,0.5,0.75,0.0,0.25,0.0,0.5,0.0,0.25,0.0,0.5,0.25,0.5,0.0,0.75,
3	192	0.03	146.07856625374623	12424.249739135379	218.36068862392426	0	0	0.0	0.5,0.25,0.0,0.25,0.75,0.25,0.5,0.5,1.0,0.75,0.25,0.25,0.0,0.0,0.25,0.25,0.75,0.75,0.25,0.5,1.0,0.0,0.25,0.5,1.0,1.0,0.75,0.75,0.0,0.0,0.75,0.0,0.25,0.25,0.5,1.0,0.5,0.75,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.25,0.25,0.5,0.0,0.0,
4	256	0.037	146.07856625374623	12424.249739135379	218.36068862392426	0	0	0.0	0.5,0.25,0.0,0.25,0.75,0.25,0.5,0.5,1.0,0.75,0.25,0.25,0.0,0.0,0.25,0.25,0.75,0.75,0.25,0.5,1.0,0.0,0.25,0.5,1.0,1.0,0.75,0.75,0.0,0.0,0.75,0.0,0.25,0.25,0.5,1.0,0.5,0.75,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.25,0.25,0.5,0.0,0.0,
5	320	0.043	144.97655855445086	12470.073125132674	202.75827303124115	0	0	0.0	0.75,0.75,0.5,0.75,0.5,0.5,0.75,1.0,1.0,0.75,0.25,0.25,0.0,1.0,0.25,0.25,0.75,0.75,0.25,0.0,0.0,0.75,0.25,1.0,0.5,0.25,0.25,0.25,0.75,0.75,0.0,0.75,0.0,0.25,0.0,0.75,1.0,0.5,0.0,0.5,0.0,1.0,0.25,1.0,0.25,0.25,0.0,0.25,0.25,0.0,
6	384	0.047	143.6820286727457	12162.04535129514	220.61575159794296	0	0	0.0	0.75,1.0,0.75,0.25,0.75,0.25,0.25,0.5,1.0,0.75,0.25,0.25,0.0,1.0,0.25,0.25,0.75,0.75,0.25,0.0,1.0,0.0,0.75,0.75,0.75,0.25,1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.5,0.0,1.0,0.25,0.0,0.75,0.25,0.0,0.5,0.0,1.0,0.0,0.25,0.25,0.5,0.0,0.0,
7	448	0.053	142.52929777704318	12332.320877992594	192.06088997117243	0	0	0.0	0.75,0.5,0.5,0.75,0.5,0.5,0.75,1.0,0.75,1.0,0.25,0.25,0.0,1.0,0.25,0.25,0.75,0.75,0.25,0.0,1.0,0.0,0.75,0.75,0.75,0.25,1.0,0.0,1.0,0.5,0.0,0.75,0.0,0.25,0.0,0.75,1.0,1.0,0.5,1.0,0.0,0.5,0.0,1.0,0.0,0.25,0.25,0.5,0.0,0.0,
8	512	0.058	140.6520641662608	11751.65505552431	231.355136110177	0	0	0.0	1.0,0.5,0.5,0.5,0.75,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,0.0,0.25,0.25,0.75,0.75,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.25,0.75,0.75,0.0,0.0,0.0,1.0,0.25,1.0,0.25,1.0,0.5,0.75,0.0,0.25,0.0,1.0,0.25,1.0,0.0,0.25,0.25,0.0,0.0,0.0,
9	576	0.062	138.93539518410995	11632.9128533926	226.06266650183966	0	0	0.0	0.75,0.25,0.0,0.25,0.75,0.25,0.25,0.5,1.0,1.0,0.5,0.25,0.0,0.0,0.25,0.25,0.75,0.75,0.25,0.0,1.0,0.0,0.25,0.5,1.0,0.25,0.75,0.75,0.0,0.25,0.25,0.0,1.0,0.25,0.5,1.0,0.5,0.5,0.0,0.5,0.0,0.25,0.0,1.0,0.0,0.25,0.25,0.5,0.0,0.0,
10	640	0.066	136.99935719655304	11229.476799201266	247.04589204540378	0	0	0.0	1.0,1.0,0.5,0.5,0.5,0.75,0.5,1.0,1.0,1.0,0.25,0.25,0.0,1.0,0.25,0.25,0.75,0.75,0.25,0.0,1.0,0.75,0.25,0.5,0.75,0.25,0.75,0.75,0.0,0.25,0.0,0.25,0.25,1.0,0.5,1.0,0.5,0.75,0.0,0.25,0.0,0.25,0.25,1.0,0.0,0.25,0.25,0.0,0.0,0.0,
